名詞,,,,,
あき,秋,秋天,,,,おき
あさ,朝,早上;早晨,,,,あざ
あさごはん,朝ご飯,早飯;早餐,,,,あざごはん
あさって,,後天,,,,おととい
あし,足,腳,,,,あす
あした,明日,明天,,,,あしだ
あそこ,,遠處的那邊,,,,あぞこ
あたま,頭,頭,,,,あだま
あちら,,（尊）遠處的那邊,,,,おちら
あと,後,之後,,,,あど
あなた,,你,,,,あなだ
あに,兄,哥哥,,,,おに
あね,姉,姊姊,,,,おね
あめ,雨,雨,,,,おめ
いえ,家,家,,,,いいえ
いくつ,,幾個,,,,いぐつ
いくら,,多少（錢）,,,,いぐら
いしゃ,医者,醫生,,,,いしゃあ
いけ,池,池塘,,,,いげ
いす,椅子,椅子,,,,いすこ
いちにち,一日,一天,,,,いちいち
いつ,,何時,,,,いづ
いっしゅうかん,一週間,一星期,,,,いっしゅうがん
いぬ,犬,狗,,,,いね
いま,今,現在,,,,きょう
いみ,意味,意思;意義,,,,いみん
いもうと,妹,妹妹,,,,いもうど
いりぐち,入口,入口,,,,いりくち
いろ,色,顏色,,,,いろう
うえ,上,上面,,,,じょう
うしろ,後ろ,後面,,,,ごろ
うた,歌,歌,,,,うだ
うみ,海,海洋,,,,うんみ
うわぎ,上着,上衣,,,,うわき
え,絵,畫;繪畫,,,,か
えいがかん,映画館,電影院,,,,えいかがん
えいご,英語,英語,,,,えいこ
えき,駅,車站,,,,えきい
えん,円,日元,,,,
えんぴつ,鉛筆,鉛筆,,,,えんびつ
おかあさん,お母さん,母親,,,,おかさん
おかし,お菓子,點心;糖果,,,,おかしい
おかね,お金,金錢,,,,おがね
おきゃくさん,お客さん,客人;顧客,,,,おきゃくさ
おくさん,奥さん,對方的太太,,,,おぐさん
おさけ,お酒,酒,,,,おしゃけ
おさら,お皿,盤子,,,,おてら
おじいさん,,爺爺,,,,おじさん
おじさん,,叔叔;姨丈;姑丈;伯父,,,,おじいさん
おちゃ,お茶,茶,,,,おちゃあ
おとうさん,お父さん,父親,,,,おとさん
おとうと,弟,弟弟,,,,おどうと
おとこ,男,男性,,,,おどこ
おとこのこ,男の子,男孩子,,,,おどこのこ
おとこのひと,男の人,男人,,,,おどこのひと
おととい,一昨日,前天,,,,おととし
おととし,一昨年,前年,,,,おととい
おとな,大人,大人;成人,,,,おどな
おなか,お腹,肚子,,,,おなが
おにいさん,お兄さん,哥哥;令兄,,,,おにさん
おねえさん,お姉さん,姐姐;令姊,,,,おねさん
おばあさん,,外婆;奶奶,,,,おばさん
おばさん,,伯母;阿姨;姑姑;嬸嬸,,,,おばあさん
おふろ,お風呂,浴室;洗澡,,,,おふうろ
おべんとう,お弁当,便當,,,,おべんどう
おまわりさん,お巡りさん,警察,,,,おもわりさん
おんがく,音楽,音樂,,,,おんかく
おんな,女,女性,,,,おうな
おんなのこ,女の子,女孩子,,,,おんなのご
おんなのひと,女の人,女人;女的,,,,おんなのびと
がいこくじん,外国人,外國人,,,,がいこくにん
かいしゃ,会社,公司,,,,がいしゃ
かいだん,階段,樓梯,,,,がいだん
かいもの,買い物,買東西,,,,がいもの
かお,顔,臉,,,,がん
かぎ,,鑰匙,,,,かき
がくせい,学生,學生,,,,かくせい
かさ,傘,雨傘,,,,がさ
かぜ,風邪,感冒,,,,かせ
かぞく,家族,家族,,,,かそく
がっこう,学校,學校,,,,がっごう
かど,角,角;轉角,,,,かと
かばん,鞄,包包,,,,かぱん
かびん,花瓶,花瓶,,,,かぴん
かみ,紙,紙張,,,,がみ
からだ,体,身體,,,,からた
かわ,川,河川,,,,がわ
かんじ,漢字,漢字,,,,かんし
き,木,樹,,,,ぎ
きた,北,北方,,,,ぎた
きっさてん,喫茶店,咖啡廳,,,,きっさでん
きって,切手,郵票,,,,ぎって
きっぷ,切符,車票,,,,きっぶ
ぎゅうにく,牛肉,牛肉,,,,きゅうにぐ
ぎゅうにゅう,牛乳,牛奶,,,,きゅうにゅう
きょう,今日,今天,,,,きゅう
きょうしつ,教室,教室,,,,きゅうしつ
きょうだい,兄弟,兄弟,,,,きょうたい
きょねん,去年,去年,,,,きょうねん
ぎんこう,銀行,銀行,,,,きんごう
くすり,薬,藥,,,,ぐすり
くだもの,果物,水果,,,,くたもの
くち,口,嘴巴,,,,くぢ
くつ,靴,鞋子,,,,くづ
くつした,靴下,襪子,,,,くづした
くに,国,國家,,,,ぐに
くるま,車,車子,,,,ぐるま
けいかん,警官,警察,,,,けいがん
けさ,今朝,今天早上,,,,けいさ
けっこん,結婚,結婚,,,,けっこう
こうえん,公園,公園,,,,ごうえん
こうちゃ,紅茶,紅茶,,,,ごうちゃ
こうばん,交番,警察局,,,,ごうばん
こえ,声,聲音（人）,,,,ごえ
ここ,,這邊,,,,ごご
ごご,午後,下午,,,,ごこ
ごぜん,午前,上午,,,,ごせん
こちら,,（尊）這邊,,,,ごちら
ことし,今年,今年,,,,ごとし
こども,子供,小孩子,,,,ことうも
ごはん,ご飯,吃飯,,,,ごぱん
これ,,這個,,,,ごれ
こんげつ,今月,這個月,,,,こんけつ
こんしゅう,今週,這週,,,,ごんしゅう
こんばん,今晩,今晚,,,,こんはん
さいふ,財布,錢包,,,,さいぶ
さかな,魚,魚,,,,さがな
さき,先,先,,,,ざき
さくぶん,作文,作文,,,,さくぷん
ざっし,雑誌,雜誌,,,,さっし
さんぽ,散歩,散步,,,,さんぼ
しお,塩,鹽,,,,しあ
じかん,時間,時間,,,,じがん
しごと,仕事,工作,,,,しこと
じしょ,辞書,字典,,,,じいしょ
した,下,下方,,,,しだ
しゃしん,写真,照片,,,,しゃじん
しゅくだい,宿題,作業,,,,しゅくたい
しょくどう,食堂,食堂,,,,しょくとう
しんぶん,新聞,報紙,,,,しんぷん
すし,寿司,壽司,,,,ずし
せ,背,背部,,,,ぜ
せいと,生徒,學生,,,,せいとう
せっけん,石鹸,肥皂,,,,せいけん
せん,千,千,,,,ぜん
せんげつ,先月,上個月,,,,ぜんげつ
せんしゅう,先週,上週,,,,ぜんしゅう
せんせい,先生,老師,,,,せんせん
そこ,,那邊,,,,そご
そちら,,（尊）那邊,,,,ぞちら
そと,外,外面,,,,ぞと
そば,側,旁邊,,,,そぱ
そば,,蕎麥麵,,,,そぱ
そら,,空,,,,ぞら
それ,,那個,,,,ぞれ
だいがく,大学,大學,,,,たいかく
だいどころ,台所,廚房,,,,たいとごろ
たてもの,建物,建築物,,,,たでもの
たばこ,,香菸,,,,たばご
たべもの,食べ物,食物,,,,だべもの
たまご,卵,蛋,,,,たばこ
だれ,誰,誰,,,,たれ
たんじょうび,誕生日,生日,,,,だんじょうび
ちかく,近く,附近,,,,ちがく
ちかてつ,地下鉄,地鐵,,,,ちかてづ
ちち,父,爸爸,,,,はは
つぎ,次,下個;下次,,,,つき
つくえ,机,桌子,,,,づくえ
て,手,手,,,,あし
てがみ,手紙,信件,,,,でかみ
でぐち,出口,出口,,,,だしぐち
てんき,天気,天氣,,,,でんき
でんき,電気,電器,,,,でんぎ
でんしゃ,電車,電車,,,,てんしゃ
でんわ,電話,電話,,,,てんわ
どうぶつ,動物,動物,,,,とうぶつ
とけい,時計,時鐘,,,,どけい
どこ,何処,哪裏,,,,とうこ
ところ,所,地方,,,,とごろ
とし,年,年,,,,とうし
としょかん,図書館,圖書館,,,,としょうかん
どちら,,（尊）哪裏,,,,とちら
どなた,何方,哪位,,,,となだ
となり,隣,旁邊;隔壁（有生命）,,,,どなり
ともだち,友達,朋友,,,,ともたち
とり,鳥,鳥,,,,どり
とりにく,鳥肉,雞肉,,,,どりにく
どれ,どれ,哪個,,,,とれ
なか,中,中間;裡面,,,,なが
なつ,夏,夏天,,,,なづ
なつやすみ,夏休み,暑假,,,,ねつやすみ
なに,何,什麼,,,,
なまえ,名前,名字,,,,なもえ
にく,肉,肉,,,,にぐ
にし,西,西方,,,,
にほんじん,日本人,日本人,,,,にほんにん
にわ,庭,庭院,,,,
ねこ,猫,貓,,,,ねご
のみもの,飲み物,飲料,,,,
はいざら,灰皿,菸灰缸,,,,はいさら
はがき,葉書,明信片,,,,はかぎ
はたち,二十歳,二十歲,,,,はだち
はな,鼻,鼻子,,,,
はな,花,花,,,,
はなし,話,話語;事情;故事,,,,
はは,母,媽媽,,,,
はる,春,春天,,,,
ばんごう,番号,號碼,,,,ばんこう
ばんごはん,晩ご飯,晚飯;晚餐,,,,
ひがし,東,東方,,,,
ひこうき,飛行機,飛機,,,,ひこぎ
ひと,人,人,,,,
ひゃく,百,百,,,,
ひゃくてん,百点,一百分,,,,
びょういん,病院,醫院,,,,びよういん
びょうき,病気,生病,,,,びょうぎ
ひる,昼,中午,,,,
ひるごはん,昼ご飯,中餐,,,,
ふく,服,衣服,,,,ふぐ
へや,部屋,房間,,,,
べんきょう,勉強,讀書,,,,べんぎょう
ほう,方,方向;方面,,,,
ほん,本,書本,,,,
ほか,,其他,,,,
まいあさ,毎朝,每天早上,,,,
まいしゅう,毎週,每週;每星期,,,,まいしゆう
まいつき,毎月,每個月,,,,まいづき
まいとし,毎年,每年,,,,まいねん
まいにち,毎日,每天,,,,まいび
まいばん,毎晩,每天晚上,,,,
まえ,前,前面;前方,,,,
まち,町,城;鎮,,,,
まど,窓,窗戶,,,,
みぎ,右,右邊;右方,,,,みき
みせ,店,店;商店,,,,みせい
みどり,緑,綠色,,,,みとり
みなさん,皆さん,大家;各位,,,,かいさん
みなみ,南,南方,,,,
みみ,耳,耳朵,,,,
みんな,皆,大家;各位,,,,みな
め,目,眼睛,,,,
めがね,,眼鏡,,,,
もの,物,物品,,,,
もん,門,門,,,,
もんだい,問題,問題,,,,もんたい
やおや,八百屋,蔬菜店,,,,はっぴゃくや
やさい,野菜,蔬菜,,,,やばい
やすみ,休み,休息,,,,きゅうみ
やま,山,山,,,,
ゆうがた,夕方,傍晚,,,,ゆうほう
ゆうはん,夕飯,晚餐,,,,
ゆき,雪,雪,,,,
ようふく,洋服,西裝;洋裝,,,,ゆうふく
よこ,横,旁邊（無生命）,,,,よご
よる,夜,晚上;夜晚,,,,
らいげつ,来月,下個月,,,,らいがつ
らいしゅう,来週,下週,,,,らいじゅう
らいねん,来年,明年,,,,らいとし
りゅうがくせい,留学生,留學生,,,,りょうがくせい
りょうり,料理,料理;做菜,,,,りようり
わたし,私,我,,,,